,Date,Close
1937,2018-08-19,6382.06
1938,2018-08-20,6475.49
1939,2018-08-21,6242.88
1940,2018-08-22,6467.27
1941,2018-08-23,6336.66
1942,2018-08-24,6521.07
1943,2018-08-25,6684.38
1944,2018-08-26,6736.04
1945,2018-08-27,6728.29
1946,2018-08-28,6911.1
1947,2018-08-29,7075.98
1948,2018-08-30,7046.75
1949,2018-08-31,7024.15
1950,2018-09-01,7027.63
1951,2018-09-02,7211.27
1952,2018-09-03,7305.27
1953,2018-09-04,7260.9
1954,2018-09-05,7359.46
1955,2018-09-06,6764.93
1956,2018-09-07,6498.28
1957,2018-09-08,6397.82
1958,2018-09-09,6181.19
1959,2018-09-10,6260.76
1960,2018-09-11,6308.14
1961,2018-09-12,6278.92
1962,2018-09-13,6330.57
1963,2018-09-14,6486.46
1964,2018-09-15,6500.01
1965,2018-09-16,6530.22
1966,2018-09-17,6506.25
1967,2018-09-18,6250.12
1968,2018-09-19,6347.07
1969,2018-09-20,6383.75
1970,2018-09-21,6491.89
1971,2018-09-22,6753.83
1972,2018-09-23,6747.03
1973,2018-09-24,6711.03
1974,2018-09-25,6596.19
1975,2018-09-26,6441.31
1976,2018-09-27,6462.8
1977,2018-09-28,6704.7
1978,2018-09-29,6634.77
1979,2018-09-30,6606.07
1980,2018-10-01,6626.04
1981,2018-10-02,6598.84
1982,2018-10-03,6524.61
1983,2018-10-04,6499.26
1984,2018-10-05,6578.7
1985,2018-10-06,6621.19
1986,2018-10-07,6589.12
1987,2018-10-08,6584.83
1988,2018-10-09,6653.09
1989,2018-10-10,6633.75
1990,2018-10-11,6582.46
1991,2018-10-12,6234.37
1992,2018-10-13,6285.59
1993,2018-10-14,6314.88
1994,2018-10-15,6328.55
1995,2018-10-16,6659.88
1996,2018-10-17,6635.13
1997,2018-10-18,6635.74
1998,2018-10-19,6517.51
1999,2018-10-20,6483.83
2000,2018-10-21,6532.68
2001,2018-10-22,6529.67
2002,2018-10-23,6512.59
2003,2018-10-24,6472.8
2004,2018-10-25,6481.44
2005,2018-10-26,6458.19
2006,2018-10-27,6468.83
2007,2018-10-28,6457.06
2008,2018-10-29,6481.32
2009,2018-10-30,6292.65
2010,2018-10-31,6331.78
2011,2018-11-01,6366.72
2012,2018-11-02,6379.97
2013,2018-11-03,6425.44
2014,2018-11-04,6388.19
2015,2018-11-05,6351.06
2016,2018-11-06,6415.44
2017,2018-11-07,6474.85
2018,2018-11-08,6574.8
2019,2018-11-09,6490.45
2020,2018-11-10,6413.78
2021,2018-11-11,6429.9
2022,2018-11-12,6434.28
2023,2018-11-13,6411.35
2024,2018-11-14,6394.29
2025,2018-11-15,5788.61
2026,2018-11-16,5686.54
2027,2018-11-17,5609.96
2028,2018-11-18,5599.19
2029,2018-11-19,5638.86
2030,2018-11-20,4889.2
2031,2018-11-21,4450.71
2032,2018-11-22,4613.45
2033,2018-11-23,4307.39
2034,2018-11-24,4376.9
2035,2018-11-25,3895.84
2036,2018-11-26,4039.84
2037,2018-11-27,3811.92
2038,2018-11-28,3832.92
2039,2018-11-29,4267.24
2040,2018-11-30,4279.48
2041,2018-12-01,4009.69
2042,2018-12-02,4189.57
2043,2018-12-03,4124.59
2044,2018-12-04,3878.84
2045,2018-12-05,3943.69
2046,2018-12-06,3751.69
2047,2018-12-07,3466.76
2048,2018-12-08,3408.52
2049,2018-12-09,3424.71
2050,2018-12-10,3550.55
2051,2018-12-11,3433.81
2052,2018-12-12,3378.81
2053,2018-12-13,3438.1
2054,2018-12-14,3294.64
2055,2018-12-15,3216.63
2056,2018-12-16,3221.98
2057,2018-12-17,3217.05
2058,2018-12-18,3506.22
2059,2018-12-19,3655.78
2060,2018-12-20,3687.75
2061,2018-12-21,4065.1
2062,2018-12-22,3846.23
2063,2018-12-23,3960.57
2064,2018-12-24,3941.62
2065,2018-12-25,4021.99
2066,2018-12-26,3759.18
2067,2018-12-27,3781.61
2068,2018-12-28,3587.7
2069,2018-12-29,3854.42
2070,2018-12-30,3778.19
2071,2018-12-31,3809.73
2072,2019-01-01,3692.53
2073,2019-01-02,3794.26
2074,2019-01-03,3872.17
2075,2019-01-04,3776.53
2076,2019-01-05,3815.27
2077,2019-01-06,3787.31
2078,2019-01-07,4013.52
2079,2019-01-08,3989.67
2080,2019-01-09,3973.59
2081,2019-01-10,3982.23
2082,2019-01-11,3623.85
2083,2019-01-12,3632.85
2084,2019-01-13,3598.44
2085,2019-01-14,3495.83
2086,2019-01-15,3648.05
2087,2019-01-16,3567.8
2088,2019-01-17,3597.65
2089,2019-01-18,3620.98
2090,2019-01-19,3597.79
2091,2019-01-20,3674.59
2092,2019-01-21,3539.17
2093,2019-01-22,3531.0
2094,2019-01-23,3571.27
2095,2019-01-24,3555.7
2096,2019-01-25,3565.64
2097,2019-01-26,3564.82
2098,2019-01-27,3563.61
2099,2019-01-28,3553.12
